Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
1857x,molecules2,EDL126-022315,480.3453,1,480.3453,1,precursor,18.47,15433500,817517,1
1857x,molecules2,EDL127-022315,480.3453,1,480.3453,1,precursor,18.39,12962757,234997,1
1857x,molecules2,EDL128-022315,480.3453,1,480.3453,1,precursor,18.42,25966036,684015,1
1857x,molecules2,EDL129-022315,480.3453,1,480.3453,1,precursor,18.42,8509033,257021,1
1857x,molecules2,EDL130-022315,480.3453,1,480.3453,1,precursor,18.47,20048070,982212,1
1857x,molecules2,EDL131-022315,480.3453,1,480.3453,1,precursor,18.48,18275394,652570,1
1857x,molecules2,EDL132-022315,480.3453,1,480.3453,1,precursor,18.48,22442312,776055,1
1857x,molecules2,EDL133,480.3453,1,480.3453,1,precursor,18.49,17972714,743209,1
1857x,molecules2,EDL134-022315,480.3453,1,480.3453,1,precursor,18.39,17757036,321759,1
1857x,molecules2,EDL135-022315,480.3453,1,480.3453,1,precursor,18.28,17866836,393204,1
1857x,molecules2,EDL136-022315,480.3453,1,480.3453,1,precursor,18.46,6269100,211219,1
1857x,molecules2,EDL137-022315,480.3453,1,480.3453,1,precursor,18.41,14701933,410653,1
1857x,molecules2,EDL138-022315,480.3453,1,480.3453,1,precursor,18.41,17113866,422564,1
1857x,molecules2,EDL139-022315,480.3453,1,480.3453,1,precursor,18.48,23322256,458903,1
1857x,molecules2,EDL140-022315,480.3453,1,480.3453,1,precursor,18.38,32450852,762634,1
1857x,molecules2,EDL71-022315,480.3453,1,480.3453,1,precursor,18.47,23353472,959307,1
1857x,molecules2,EDL72-022315,480.3453,1,480.3453,1,precursor,18.48,15551147,300000,1
1857x,molecules2,EDL73-022315,480.3453,1,480.3453,1,precursor,18.43,18675690,490673,1
1857x,molecules2,EDL74-022315,480.3453,1,480.3453,1,precursor,18.44,65762728,2052083,1
1857x,molecules2,EDL75-022315,480.3453,1,480.3453,1,precursor,18.48,18638992,761282,1
1857x,molecules2,EDL76-022315,480.3453,1,480.3453,1,precursor,18.41,7831100,156275,1
1857x,molecules2,EDL77-022315,480.3453,1,480.3453,1,precursor,18.47,16021897,635412,1
1857x,molecules2,EDL78-022315,480.3453,1,480.3453,1,precursor,18.36,19359800,415822,1
1857x,molecules2,EDL79-022315,480.3453,1,480.3453,1,precursor,18.46,22967878,423596,1
1857x,molecules2,EDL80-022315,480.3453,1,480.3453,1,precursor,18.46,7832426,150353,1
1857x,molecules2,EDL86-022315,480.3453,1,480.3453,1,precursor,18.46,23143508,915720,1
1857x,molecules2,EDL87,480.3453,1,480.3453,1,precursor,18.49,19292714,650751,1
1857x,molecules2,EDL88-022315,480.3453,1,480.3453,1,precursor,18.48,28920480,1488306,1
1857x,molecules2,EDL89-022315,480.3453,1,480.3453,1,precursor,18.46,7084538,260454,1
1857x,molecules2,EDL90-022315,480.3453,1,480.3453,1,precursor,18.41,10302596,224729,1
1857x,molecules2,ELL01-022315,480.3453,1,480.3453,1,precursor,18.39,11537883,381537,1
1857x,molecules2,ELL02-022315,480.3453,1,480.3453,1,precursor,18.35,9730715,293769,1
1857x,molecules2,ELL03-022315,480.3453,1,480.3453,1,precursor,18.42,7739720,217766,1
1857x,molecules2,ELL04-022315,480.3453,1,480.3453,1,precursor,18.48,17519932,957907,1
1857x,molecules2,ELL05-022315,480.3453,1,480.3453,1,precursor,18.46,25113312,465363,1
1857x,molecules2,ELL06-022315,480.3453,1,480.3453,1,precursor,18.39,21546016,654404,1
1857x,molecules2,ELL07-022315,480.3453,1,480.3453,1,precursor,18.49,15004930,513104,1
1857x,molecules2,ELL08-022315,480.3453,1,480.3453,1,precursor,18.46,6170911,93767,1
1857x,molecules2,ELL09-022315,480.3453,1,480.3453,1,precursor,18.43,23274992,409485,1
1857x,molecules2,ELL10-022315,480.3453,1,480.3453,1,precursor,18.4,30312550,786416,1
1857x,molecules2,ELL16-022315,480.3453,1,480.3453,1,precursor,18.49,35484704,2044652,1
1857x,molecules2,ELL17-022315,480.3453,1,480.3453,1,precursor,18.45,18860062,739089,1
1857x,molecules2,ELL18-022315,480.3453,1,480.3453,1,precursor,18.42,25021138,512988,1
1857x,molecules2,ELL19-022315,480.3453,1,480.3453,1,precursor,18.32,35194320,741900,1
1857x,molecules2,ELL20-022315,480.3453,1,480.3453,1,precursor,18.46,26196078,1426548,1
1857x,molecules2,ELL56-022315,480.3453,1,480.3453,1,precursor,18.48,14340886,304753,1
1857x,molecules2,ELL57-022315,480.3453,1,480.3453,1,precursor,18.47,20029444,930596,1
1857x,molecules2,ELL58-022315,480.3453,1,480.3453,1,precursor,18.45,14773249,874266,1
1857x,molecules2,ELL59-022315,480.3453,1,480.3453,1,precursor,18.24,8722807,151284,1
1857x,molecules2,ELL60-022315,480.3453,1,480.3453,1,precursor,18.44,13999645,629172,1
1857x,molecules2,ELL61-022315,480.3453,1,480.3453,1,precursor,18.49,10084919,604078,1
1857x,molecules2,ELL62-022315,480.3453,1,480.3453,1,precursor,18.4,14278613,377905,1
1857x,molecules2,ELL63-022315,480.3453,1,480.3453,1,precursor,18.49,16237404,726971,1
1857x,molecules2,ELL64-022315,480.3453,1,480.3453,1,precursor,18.41,12824846,321412,1
1857x,molecules2,ELL65-022315,480.3453,1,480.3453,1,precursor,18.46,9426107,235517,1
1857x,molecules2,ELL66-022315,480.3453,1,480.3453,1,precursor,18.41,14200678,302526,1
1857x,molecules2,ELL67-022315,480.3453,1,480.3453,1,precursor,18.45,17449500,676510,1
1857x,molecules2,ELL68-022315,480.3453,1,480.3453,1,precursor,18.45,16732375,369457,1
1857x,molecules2,ELL69-022315,480.3453,1,480.3453,1,precursor,18.49,15223234,446537,1
1857x,molecules2,ELL70-022315,480.3453,1,480.3453,1,precursor,18.38,15347452,239007,1
1857x,molecules2,HCN01-022315,480.3453,1,480.3453,1,precursor,18.48,27409742,1107413,1
1857x,molecules2,HCN02-022315,480.3453,1,480.3453,1,precursor,18.45,7849091,133445,1
1857x,molecules2,HCN03-022315,480.3453,1,480.3453,1,precursor,18.48,10050969,633089,1
1857x,molecules2,HCN04-022315,480.3453,1,480.3453,1,precursor,18.39,26014950,657095,1
1857x,molecules2,HCN05-022315,480.3453,1,480.3453,1,precursor,18.41,22783230,578700,1
1857x,molecules2,HCN06-022315,480.3453,1,480.3453,1,precursor,18.42,3451477,74591,1
1857x,molecules2,HCN07-022315,480.3453,1,480.3453,1,precursor,18.39,9967312,257104,1
1857x,molecules2,HCN08-022315,480.3453,1,480.3453,1,precursor,18.39,9455207,213148,1
1857x,molecules2,HCN09-022315,480.3453,1,480.3453,1,precursor,18.44,4393574,145979,1
1857x,molecules2,HCN10-022315,480.3453,1,480.3453,1,precursor,18.46,15333402,371470,1
1857x,molecules2,HCN11-022315,480.3453,1,480.3453,1,precursor,18.44,9710857,172589,1
1857x,molecules2,HCN12-022315,480.3453,1,480.3453,1,precursor,18.32,21160624,467678,1
1857x,molecules2,HCN13-022315,480.3453,1,480.3453,1,precursor,18.47,3416321,117820,1
1857x,molecules2,HCN14-022315,480.3453,1,480.3453,1,precursor,18.44,7343830,135145,1
1857x,molecules2,HCN15-022315,480.3453,1,480.3453,1,precursor,18.47,14932174,699763,1
1857x,molecules2,HCN16-022315,480.3453,1,480.3453,1,precursor,18.49,17272834,545812,1
1857x,molecules2,HCN17-022315,480.3453,1,480.3453,1,precursor,18.48,25994242,1161766,1
1857x,molecules2,HCN18,480.3453,1,480.3453,1,precursor,18.5,8723057,155360,1
1857x,molecules2,HCN19-022315,480.3453,1,480.3453,1,precursor,18.44,6044797,237108,1
1857x,molecules2,HCN20,480.3453,1,480.3453,1,precursor,18.48,16570019,770077,1
1857x,molecules2,HCN21-022315,480.3453,1,480.3453,1,precursor,18.44,10006201,280502,1
1857x,molecules2,HCN22-022315,480.3453,1,480.3453,1,precursor,18.47,8827974,167242,1
1857x,molecules2,HCN23-022315,480.3453,1,480.3453,1,precursor,18.46,10817498,397193,1
1857x,molecules2,HCN24-022315,480.3453,1,480.3453,1,precursor,18.47,11111997,259913,1
1857x,molecules2,HCN25-022315,480.3453,1,480.3453,1,precursor,18.41,5149090,166501,1
1857x,molecules2,HCN28-022315,480.3453,1,480.3453,1,precursor,18.48,6868709,194266,1
1857x,molecules2,HCN29-022315,480.3453,1,480.3453,1,precursor,18.42,18035572,409693,1
1857x,molecules2,HCN30-022315,480.3453,1,480.3453,1,precursor,18.49,19944502,913009,1
1857x,molecules2,HCW11-022315,480.3453,1,480.3453,1,precursor,18.49,17298938,1067067,1
1857x,molecules2,HCW12-022315,480.3453,1,480.3453,1,precursor,18.48,13818322,728471,1
1857x,molecules2,HCW13-022315,480.3453,1,480.3453,1,precursor,18.39,15831624,323238,1
1857x,molecules2,HCW20-022315,480.3453,1,480.3453,1,precursor,18.41,13865732,227355,1
1857x,molecules2,HCW21-022315,480.3453,1,480.3453,1,precursor,18.39,14545378,316209,1
1857x,molecules2,HCW22-022315,480.3453,1,480.3453,1,precursor,18.39,40349364,789524,1
1857x,molecules2,HCW23-022315,480.3453,1,480.3453,1,precursor,18.45,23913782,863558,1
1857x,molecules2,HCW24-022315,480.3453,1,480.3453,1,precursor,18.39,16520904,294674,1
1857x,molecules2,HCW25-022315,480.3453,1,480.3453,1,precursor,18.29,33214542,1776502,1
1857x,molecules2,HCW26-022315,480.3453,1,480.3453,1,precursor,18.45,21061896,827437,1
1857x,molecules2,HCW27-022315,480.3453,1,480.3453,1,precursor,18.42,8182153,196984,1
1857x,molecules2,HCW28-022315,480.3453,1,480.3453,1,precursor,18.47,7421507,204293,1
1857x,molecules2,HCW29-022315,480.3453,1,480.3453,1,precursor,18.44,17458260,370973,1
1857x,molecules2,HCW30-022315g,480.3453,1,480.3453,1,precursor,18.42,4592051,111314,1
1857x,molecules2,HCW31,480.3453,1,480.3453,1,precursor,18.49,18238258,456916,1
1857x,molecules2,HCW32-022315,480.3453,1,480.3453,1,precursor,18.46,9643673,616596,1
1857x,molecules2,HCW33-022315,480.3453,1,480.3453,1,precursor,18.39,31336314,1239635,1
1857x,molecules2,HCW34-022315,480.3453,1,480.3453,1,precursor,18.48,5658876,102721,1
1857x,molecules2,HCW35-022315,480.3453,1,480.3453,1,precursor,18.3,25696580,507893,1
1857x,molecules2,HCW36-022315,480.3453,1,480.3453,1,precursor,18.43,17078154,352626,1
1857x,molecules2,HCW37-022315,480.3453,1,480.3453,1,precursor,18.49,7067245,538178,1
1857x,molecules2,HCW38-022315,480.3453,1,480.3453,1,precursor,18.46,11561204,674347,1
1857x,molecules2,HCW39-022315,480.3453,1,480.3453,1,precursor,18.45,19599640,962011,1
1857x,molecules2,HCW40-022315,480.3453,1,480.3453,1,precursor,18.44,12308640,724710,1
1857x,molecules2,HCW41-022315,480.3453,1,480.3453,1,precursor,18.38,24141330,486567,1
1857x,molecules2,HCW42-022315,480.3453,1,480.3453,1,precursor,18.49,21758208,968493,1
1857x,molecules2,HCW43,480.3453,1,480.3453,1,precursor,18.5,26283634,1094382,1
1857x,molecules2,HCW44-022315,480.3453,1,480.3453,1,precursor,18.44,4062983,159849,1
1857x,molecules2,HCW45-022315,480.3453,1,480.3453,1,precursor,18.48,12466546,705768,1
1857x,molecules2,HCW46-022315,480.3453,1,480.3453,1,precursor,18.42,7010163,175432,1
1857x,molecules2,EDL100-052315,480.3453,1,480.3453,1,precursor,18.52,7314627,282965,1
1857x,molecules2,EDL101-052315,480.3453,1,480.3453,1,precursor,18.45,1360349,61247,1
1857x,molecules2,EDL102-052315,480.3453,1,480.3453,1,precursor,18.56,4606680,187391,1
1857x,molecules2,EDL103-052315,480.3453,1,480.3453,1,precursor,18.59,1805437,93017,1
1857x,molecules2,EDL104-052315,480.3453,1,480.3453,1,precursor,18.59,1066988,52631,1
1857x,molecules2,EDL105-052315,480.3453,1,480.3453,1,precursor,18.49,894283,45106,1
1857x,molecules2,EDL106-052315,480.3453,1,480.3453,1,precursor,18.59,1505601,70021,1
1857x,molecules2,EDL107-052315,480.3453,1,480.3453,1,precursor,18.61,4307010,176166,1
1857x,molecules2,EDL108-052315,480.3453,1,480.3453,1,precursor,18.46,1340558,61639,1
1857x,molecules2,EDL109-052315,480.3453,1,480.3453,1,precursor,18.48,1046777,50312,1
1857x,molecules2,EDL110-052315,480.3453,1,480.3453,1,precursor,18.47,1034904,46855,1
1857x,molecules2,EDL111-052315,480.3453,1,480.3453,1,precursor,18.51,3924709,169438,1
1857x,molecules2,EDL112-052315,480.3453,1,480.3453,1,precursor,18.73,753868,34105,1
1857x,molecules2,EDL113-052315,480.3453,1,480.3453,1,precursor,18.54,3885985,189852,1
1857x,molecules2,EDL114-052315,480.3453,1,480.3453,1,precursor,18.47,3929294,161404,1
1857x,molecules2,EDL115-052315,480.3453,1,480.3453,1,precursor,18.46,1371922,62778,1
1857x,molecules2,EDL116-052315,480.3453,1,480.3453,1,precursor,18.5,1613709,77390,1
1857x,molecules2,EDL117-052315,480.3453,1,480.3453,1,precursor,18.61,6652929,197636,1
1857x,molecules2,EDL118-052315,480.3453,1,480.3453,1,precursor,18.61,1115461,44874,1
