,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
0,75.0267808064896,96.72484588623051,75.02294749902809,75.0272863868473,93.9310073852539,102.23519897460899,67,37696.74966126793,nan,nan,0,0.00847457627118644,knn
7,86.0954122186462,85.3371620178223,86.0550672046902,86.09748114815409,71.271354675293,95.1330032348633,182,3410830.7176536424,nan,nan,7,0.0,no
8,86.2044362689267,86.0491943359375,86.17548040664309,86.3819510444982,74.5904922485352,95.5936737060547,363,82170.87432166697,nan,nan,8,0.0,no
9,87.0808294557107,122.87126159668001,87.07556558864451,87.189822808578,109.89022827148399,128.042129516602,190,653741.5921333462,nan,nan,9,0.0,no
17,89.05968814976309,720.9644165039059,89.0586973165531,89.06020505476721,718.6318359375,723.4484252929691,35,22594.879819781494,nan,nan,17,0.0,no
27,89.5072578822526,1749.53436279297,89.5058813780562,89.59405673746781,1732.12890625,1767.68994140625,124,1348250.2774564384,nan,nan,27,0.0,no
50,97.101122343781,876.054931640625,97.10045222982971,97.10151172118151,874.604858398438,876.7205200195309,32,11292.468084099743,nan,nan,50,0.0,no
53,99.0399203131246,78.0281219482422,99.0349798486873,99.0425726500004,72.24403381347659,84.0625228881836,115,33569.86475784631,nan,nan,53,0.0,no
55,100.07592627114401,113.53382110595699,100.068412937969,100.11255136323601,66.3791046142578,134.72189331054702,138,323463.19809079764,nan,nan,55,0.0,no
56,100.11239502629101,1693.57751464844,100.1122698979,100.112471279354,1678.17626953125,1699.72082519531,43,687306.5357328939,nan,nan,56,0.0,no
59,101.077976378104,106.099555969238,101.05674100049102,101.115559201514,82.1149215698242,116.268569946289,44,31509.874932058297,nan,nan,59,0.211864406779661,knn
62,104.107451653623,62.943286895752,104.04918958173,104.25858439234001,55.09660339355471,83.7803192138672,382,2182541.317236025,nan,nan,62,0.0,no
65,105.091021307913,122.994316101074,105.08376288720899,105.21127774243799,111.11199951171899,128.381546020508,178,600622.5591476818,nan,nan,65,0.0,no
66,106.09325821884,123.15185546875,106.087585706005,106.095827531842,114.093017578125,128.042129516602,84,51971.56113830185,nan,nan,66,0.00847457627118644,knn
67,106.05029745291901,69.68499755859379,106.0232555122,106.112384603278,53.2550773620605,74.0210876464844,43,17966.858627510206,nan,nan,67,0.00847457627118644,knn
68,107.084490783051,732.515014648438,107.068679806991,107.08589324177099,718.6318359375,734.9913940429691,142,32491.339136467068,nan,nan,68,0.00847457627118644,knn
70,108.03988512601299,84.6743545532227,108.035573390231,108.042527939582,74.115234375,90.78347778320308,49,19957.682126873493,nan,nan,70,0.0,no
71,109.10078656988199,731.0473022460941,109.09996845906001,109.101198404874,730.028930664062,746.1895141601559,39,33796.27410232539,nan,nan,71,0.0,no
75,111.116025526502,615.500671386719,111.114520648548,111.11671513721399,610.71337890625,636.922790527344,88,380951.1149015498,nan,nan,75,0.0,no
77,112.119221083764,615.404541015625,112.11777750493499,112.119960118843,610.71337890625,627.106628417969,55,32139.074889156753,nan,nan,77,0.0,no
78,113.018919717024,80.1614761352539,113.01263269133601,113.056641422981,69.4799652099609,87.2602157592773,68,80944.87129351679,nan,nan,78,0.0,no
