,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
3,80.9485297710708,61.0255661010742,80.9443404389551,81.0314996753135,55.09660339355471,68.53607177734379,212,757027.5132935947,nan,nan,3,0.0,no
7,86.0954122186462,85.3371620178223,86.0550672046902,86.09748114815409,71.271354675293,95.1330032348633,182,3410830.7176536424,nan,nan,7,0.0,no
18,89.507523904257,1710.83544921875,89.5069351347545,89.50778020817009,1708.71569824219,1713.1428222656198,111,2393764.893212112,nan,nan,18,0.0,no
19,89.5068523979361,1885.0634765625,89.5054570166522,89.5072866455251,1871.83776855469,1896.79772949219,124,779577.443783423,nan,nan,19,0.0,no
20,89.5068330246759,1906.25390625,89.5055581824472,89.5072186241342,1897.33435058594,1920.18493652344,98,766773.0244098458,nan,nan,20,0.0,no
21,89.5069181098843,1849.40087890625,89.5055919649671,89.5072970352668,1840.70751953125,1858.1633300781198,84,827111.5714489161,nan,nan,21,0.0,no
22,89.50684918530321,1865.5444946289101,89.5054671240139,89.5072579159202,1859.0859375,1871.5124511718802,58,691689.2178886551,nan,nan,22,0.0,no
23,89.5068979342871,1831.7666015625,89.5055364314658,89.50734338629191,1822.32897949219,1839.22570800781,76,698342.0525247642,nan,nan,23,0.0,no
24,89.5069472371471,1810.9050292968802,89.50554728687229,89.50739330888571,1796.85546875,1820.83972167969,87,834021.9251670655,nan,nan,24,0.0,no
25,89.5067995129014,9.726874351501461,89.5047194216835,89.50728521424541,6.79640436172485,28.2890434265137,40,880324.3431556582,nan,nan,25,0.0,no
27,89.5072578822526,1749.53436279297,89.5058813780562,89.59405673746781,1732.12890625,1767.68994140625,124,1348250.2774564384,nan,nan,27,0.0,no
28,89.50707779184609,1776.1350097656198,89.5059414501741,89.5936304525026,1768.18603515625,1785.0751953125,57,985278.4224887093,nan,nan,28,0.0,no
39,90.5078357705628,1703.17181396484,90.50753035943751,90.50807588430041,1702.09094238281,1705.98522949219,118,3490621.562587165,nan,nan,39,0.0,no
42,90.9769679639584,58.956,90.97319455463051,91.0224904144689,53.2550773620605,65.46926116943361,125,620787.5825025352,nan,nan,42,0.0,no
43,91.50546120356042,1703.16394042969,91.5051443606575,91.505693599528,1702.09094238281,1705.98522949219,118,1377731.6366346607,nan,nan,43,0.0,no
55,100.07592627114401,113.53382110595699,100.068412937969,100.11255136323601,66.3791046142578,134.72189331054702,138,323463.19809079764,nan,nan,55,0.0,no
62,104.107451653623,62.943286895752,104.04918958173,104.25858439234001,55.09660339355471,83.7803192138672,382,2182541.317236025,nan,nan,62,0.0,no
65,105.091021307913,122.994316101074,105.08376288720899,105.21127774243799,111.11199951171899,128.381546020508,178,600622.5591476818,nan,nan,65,0.0,no
91,116.070564045224,70.3772904663186,116.063523769274,116.071326438489,58.6873054504395,82.3915100097656,136,637157.2111261889,nan,nan,91,0.0,no
95,118.120135322541,75.8065872192383,118.027113749465,118.24833814186701,59.5879135131836,84.4728088378906,432,1065594.9224693014,nan,nan,95,0.025423728813559324,knn
99,120.080787185257,110.571346282959,120.072789655408,120.08144755209,101.30606842041,125.917358398438,150,3756669.465944006,nan,nan,99,0.0,no
100,120.080670202814,96.2312698364258,120.07393733810301,120.08122561101001,83.8047637939453,99.1861114501953,87,1221823.4793203543,nan,nan,100,0.059322033898305086,knn
110,124.08688647675501,1697.99249267578,124.08669627148998,124.087097519097,1694.61962890625,1699.7092285156198,80,485872.68428848474,nan,nan,110,0.0,no
130,130.050332566035,79.6702613830566,130.041065404129,130.154107882265,62.7409133911133,85.4765167236328,276,289704.3570214676,nan,nan,130,0.0,no
131,130.157597043288,345.26858520507795,130.15582133924698,130.262408757462,334.034820556641,355.500885009766,36,707394.6254606211,nan,nan,131,0.0,no
132,130.157583584123,290.153411865234,130.15567369869302,130.26147020532,273.115081787109,307.12103271484403,31,480036.475429838,nan,nan,132,0.0,no
135,132.205692150061,85.8430671691895,132.076209734452,132.27281559275698,58.238277435302706,97.864990234375,570,7115524.853480038,nan,nan,135,0.0,no
137,133.101965016023,84.7183837890625,133.025349012101,133.105608227078,71.90589904785159,97.8666534423828,211,1297985.5017682742,nan,nan,137,0.0,no
147,136.02082063939,758.1885375976559,136.01960994082398,136.021337818012,755.733276367188,761.418579101562,14,66520.51699314005,nan,nan,147,0.025423728813559324,knn
