,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
9,87.0808294557107,122.87126159668001,87.07556558864451,87.189822808578,109.89022827148399,128.042129516602,190,653741.5921333462,nan,nan,9,0.0,no
18,89.507523904257,1710.83544921875,89.5069351347545,89.50778020817009,1708.71569824219,1713.1428222656198,111,2393764.893212112,nan,nan,18,0.0,no
19,89.5068523979361,1885.0634765625,89.5054570166522,89.5072866455251,1871.83776855469,1896.79772949219,124,779577.443783423,nan,nan,19,0.0,no
20,89.5068330246759,1906.25390625,89.5055581824472,89.5072186241342,1897.33435058594,1920.18493652344,98,766773.0244098458,nan,nan,20,0.0,no
22,89.50684918530321,1865.5444946289101,89.5054671240139,89.5072579159202,1859.0859375,1871.5124511718802,58,691689.2178886551,nan,nan,22,0.0,no
27,89.5072578822526,1749.53436279297,89.5058813780562,89.59405673746781,1732.12890625,1767.68994140625,124,1348250.2774564384,nan,nan,27,0.0,no
55,100.07592627114401,113.53382110595699,100.068412937969,100.11255136323601,66.3791046142578,134.72189331054702,138,323463.19809079764,nan,nan,55,0.0,no
62,104.107451653623,62.943286895752,104.04918958173,104.25858439234001,55.09660339355471,83.7803192138672,382,2182541.317236025,nan,nan,62,0.0,no
65,105.091021307913,122.994316101074,105.08376288720899,105.21127774243799,111.11199951171899,128.381546020508,178,600622.5591476818,nan,nan,65,0.0,no
95,118.120135322541,75.8065872192383,118.027113749465,118.24833814186701,59.5879135131836,84.4728088378906,432,1065594.9224693014,nan,nan,95,0.025423728813559324,knn
131,130.157597043288,345.26858520507795,130.15582133924698,130.262408757462,334.034820556641,355.500885009766,36,707394.6254606211,nan,nan,131,0.0,no
132,130.157583584123,290.153411865234,130.15567369869302,130.26147020532,273.115081787109,307.12103271484403,31,480036.475429838,nan,nan,132,0.0,no
135,132.205692150061,85.8430671691895,132.076209734452,132.27281559275698,58.238277435302706,97.864990234375,570,7115524.853480038,nan,nan,135,0.0,no
137,133.101965016023,84.7183837890625,133.025349012101,133.105608227078,71.90589904785159,97.8666534423828,211,1297985.5017682742,nan,nan,137,0.0,no
147,136.02082063939,758.1885375976559,136.01960994082398,136.021337818012,755.733276367188,761.418579101562,14,66520.51699314005,nan,nan,147,0.025423728813559324,knn
220,162.109928345755,66.56744384765621,162.042177054555,162.113057694238,58.238277435302706,79.6680526733398,207,722118.5816833733,nan,nan,220,0.0,no
228,166.08650194705,96.2292823791504,166.07916861148502,166.087103076323,82.8725967407227,99.1861114501953,82,7729772.659766523,nan,nan,228,0.0,no
