,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
2,79.99743757004741,1703.16394042969,79.9970765515471,79.9979154468566,1702.0495605468802,1704.07763671875,46,16517.797164685016,nan,nan,2,0.0,no
12,88.5091667010371,1884.17150878906,88.5079709449225,88.50961419476108,1872.71057128906,1894.35534667969,56,47715.78295599754,nan,nan,12,0.0,no
14,88.5092450889158,1809.16534423828,88.50786790304909,88.5097199367172,1798.98352050781,1819.34948730469,34,50631.233143345096,nan,nan,14,0.0,no
16,89.0091535645794,1706.0129394531198,89.00881475169359,89.00948073833142,1704.5075683593802,1707.35070800781,91,107405.57178618599,nan,nan,16,0.0,no
22,89.50684918530321,1865.5444946289101,89.5054671240139,89.5072579159202,1859.0859375,1871.5124511718802,58,691689.2178886551,nan,nan,22,0.0,no
25,89.5067995129014,9.726874351501461,89.5047194216835,89.50728521424541,6.79640436172485,28.2890434265137,40,880324.3431556582,nan,nan,25,0.0,no
27,89.5072578822526,1749.53436279297,89.5058813780562,89.59405673746781,1732.12890625,1767.68994140625,124,1348250.2774564384,nan,nan,27,0.0,no
31,90.0081305714686,1869.3403930664101,90.00697338426359,90.0086287260832,1856.6042480468802,1880.9558105468802,64,79233.39029736439,nan,nan,31,0.0,no
33,90.0081624489209,1832.24499511719,90.00688477753651,90.00865632803641,1821.83312988281,1838.73425292969,39,78254.95180863925,nan,nan,33,0.0,no
34,90.00842166162901,1773.89910888672,90.0074703163273,90.0088799795331,1761.72900390625,1787.55920410156,52,82697.63574745692,nan,nan,34,0.0,no
36,90.0085048481015,1748.81396484375,90.0077433090221,90.009048607295,1728.5615234375,1760.26110839844,45,125868.61703373423,nan,nan,36,0.0,no
37,90.0554112874548,69.9513092041016,90.0487194276622,90.08923358954131,57.7885856628418,73.6420593261719,125,120463.8868160059,nan,nan,37,0.0,no
42,90.9769679639584,58.956,90.97319455463051,91.0224904144689,53.2550773620605,65.46926116943361,125,620787.5825025352,nan,nan,42,0.0,no
50,97.101122343781,876.054931640625,97.10045222982971,97.10151172118151,874.604858398438,876.7205200195309,32,11292.468084099743,nan,nan,50,0.0,no
55,100.07592627114401,113.53382110595699,100.068412937969,100.11255136323601,66.3791046142578,134.72189331054702,138,323463.19809079764,nan,nan,55,0.0,no
59,101.077976378104,106.099555969238,101.05674100049102,101.115559201514,82.1149215698242,116.268569946289,44,31509.874932058297,nan,nan,59,0.211864406779661,knn
83,113.96299447132401,1844.73889160156,113.96134641831301,113.963621657607,1826.302734375,1858.0939941406198,118,118797.18774352112,nan,nan,83,0.0,no
84,113.962975165529,1912.21472167969,113.9614574027,113.963466646796,1904.12939453125,1920.18505859375,67,93633.35367503701,nan,nan,84,0.0,no
110,124.08688647675501,1697.99249267578,124.08669627148998,124.087097519097,1694.61962890625,1699.7092285156198,80,485872.68428848474,nan,nan,110,0.0,no
115,125.09562713125099,875.5949096679691,125.09476343379801,125.096113600849,874.604858398438,876.7205200195309,61,31153.879763399942,nan,nan,115,0.00847457627118644,knn
131,130.157597043288,345.26858520507795,130.15582133924698,130.262408757462,334.034820556641,355.500885009766,36,707394.6254606211,nan,nan,131,0.0,no
132,130.157583584123,290.153411865234,130.15567369869302,130.26147020532,273.115081787109,307.12103271484403,31,480036.475429838,nan,nan,132,0.0,no
140,134.018642284272,62.950761795043896,134.014386801245,134.11762153090402,54.0604476928711,76.43446350097659,154,32075.815333774746,nan,nan,140,0.0,no
156,140.066742029654,64.14369964599611,140.025391031366,140.06840723758,58.1981048583984,82.1384811401367,114,396006.33267100196,nan,nan,156,0.0,no
159,141.06948440366997,64.4961395263672,141.065267763196,141.07106089507602,60.3490676879883,68.2833786010742,58,26137.348930575645,nan,nan,159,0.0,no
160,141.554555992009,846.271240234375,141.55385733980802,141.555348748076,845.570922851562,848.9629516601559,19,7848.37493557614,nan,nan,160,0.025423728813559324,knn
163,141.95764691793002,1885.60498046875,141.956394120659,141.958183076658,1878.36706542969,1891.5007324218802,70,234528.2737716297,nan,nan,163,0.0,no
173,143.030218587181,61.9786224365234,142.898970305993,143.031685848757,53.7287178039551,69.82452392578121,183,65203.321706292045,nan,nan,173,0.0,no
180,146.113376298034,66.18673706054689,146.073655380463,146.11666387148702,52.224525451660206,87.1129150390625,83,30479.250832626214,nan,nan,180,0.01694915254237288,knn
182,147.076419391113,71.40032958984379,146.980187729867,147.108663960612,65.5054473876953,92.01575469970699,91,49532.13981851606,nan,nan,182,0.059322033898305086,knn
190,151.074798884636,655.890594482422,151.072632125033,151.075819152874,652.895263671875,665.2308349609381,44,31851.714622252024,nan,nan,190,0.03389830508474576,knn
195,152.030720149364,80.6713905334473,152.023675838232,152.144185145198,53.7287178039551,98.52538299560551,176,599559.0838598948,nan,nan,195,0.0,no
207,157.08588254727698,831.484497070312,157.084844368111,157.086543834777,830.29345703125,834.212524414062,30,9506.832863574567,nan,nan,207,0.0423728813559322,knn
208,157.082059161502,131.890197753906,157.078727682901,157.083725661674,119.524375915527,135.64822387695298,26,81229.66265970835,nan,nan,208,0.0,no
210,157.122051014751,845.927368164062,157.121459229687,157.123083148331,844.7314453125,849.460571289062,25,10936.611628304123,nan,nan,210,0.0,no
211,157.085365866351,709.744781494141,157.084304242225,157.168909675741,696.8565063476559,712.688842773438,54,19976.570793462797,nan,nan,211,0.0,no
213,158.153262014193,917.06494140625,158.15197274665002,158.15386570176702,912.396728515625,925.3541870117191,76,57207.25821681551,nan,nan,213,0.0,no
229,166.081938461726,64.9242477416992,166.028422526544,166.235702163903,63.1012954711914,74.295036315918,45,218310.29343011128,nan,nan,229,0.0,no
249,171.101277350872,875.577758789062,171.100537262116,171.10232986520901,874.604858398438,876.6057739257809,101,110476.6258539764,nan,nan,249,0.0,no
251,171.101030261289,787.157745361328,171.099535099816,171.101822963466,784.6807250976559,789.14794921875,42,75190.82826145986,nan,nan,251,0.0,no
253,171.134611688098,845.309204101562,171.103548931369,171.136390649896,844.7314453125,848.0780639648441,19,10067.76332157774,nan,nan,253,0.0,no
259,172.104549671285,875.627960205078,172.10413153071,172.10497983712398,874.604858398438,876.561889648438,30,10224.606730541493,nan,nan,259,0.0423728813559322,knn
261,172.113635199416,788.1357421875,172.075262689875,172.131280741991,771.789672851562,791.5956420898441,23,24122.569295329722,nan,nan,261,0.2966101694915254,knn
265,173.080468465177,705.5529174804691,173.078596386315,173.08717219874902,699.1152954101559,706.707153320312,31,11029.951022906373,nan,nan,265,0.025423728813559324,knn
266,173.07591720048902,86.6121368408203,173.039995193425,173.09043343828498,66.87985229492189,92.45862579345699,38,36089.7434230458,nan,nan,266,0.0,no
267,174.012055668139,63.9304885864258,174.007614676547,174.014166436209,61.4477767944336,81.8718032836914,69,65011.564112759326,nan,nan,267,0.0,no
268,174.130592154044,1018.7411499023401,174.113878889251,174.130905409663,1015.0562744140599,1031.99816894531,35,57607.32235635958,nan,nan,268,0.00847457627118644,knn
275,176.07280650514198,137.02938079834,176.06926742207,176.07486514431702,126.894317626953,141.350402832031,70,83796.21482265458,nan,nan,275,0.0423728813559322,knn
276,176.097214714298,123.34810256958,176.068899414757,176.106878236424,115.94171142578101,126.749145507812,46,27197.382612096462,nan,nan,276,0.1864406779661017,knn
277,176.112994687197,63.4376049041748,176.01108030341098,176.12523629690398,55.6374092102051,72.050407409668,38,10619.041712569015,nan,nan,277,0.00847457627118644,knn
